id,nombre,descripcion,unidad_medida,precio_por_unidad
974,Maple Pecan Pancake Mix,"A fluffy pancake mix infused with maple and pecans, perfect for a hearty breakfast.",cm,4.99
975,Magnetic Puzzle Board,Magnetic puzzle assembly board for kids.,cm3,24.99
976,Chocolate Covered Pretzels,"Crunchy pretzels coated in rich chocolate, a sweet treat.",litros,3.29
977,Instant Pot,7-in-1 multi-cooker for versatile cooking.,cm3,89.99
978,Ceramic Planter Set,Set of decorative ceramic planters for indoor plants.,litro,39.99
979,Silicone Ice Cube Tray,Flexible tray for easy-release ice cubes.,km,10.99
980,Silicone Ice Cube Tray,Flexible tray for easy-release ice cubes.,cm3,10.99
981,Wireless HDMI Receiver,Stream HD video wirelessly from devices to TV.,pulgadas,49.99
982,Basil Lemonade,Refreshing basil-infused lemonade for a cool drink.,pulgadas,2.99
983,Customizable Name Plate,Personalized nameplate for offices or homes.,km,19.99
984,Pineapple Salsa,Fresh salsa made with pineapple and spices,m2,4.29
985,Buffalo Stilton Cheese,Spicy blue cheese with a hint of buffalo flavor.,km,8.99
986,Luminous Night Light,Soft glow night light for children's rooms or bedside.,litro,15.99
987,Ricotta Cheese,"Creamy ricotta cheese, great for cooking or making desserts.",m2,4.99
988,Skincare Set,All-natural skincare set for daily use.,pulgadas,54.99
989,Chickpea Pancakes,"Savory pancakes made with chickpea flour, high in protein.",litro,4.99
990,Travel Yoga Mat,Lightweight yoga mat for practicing on the go.,km,34.99
991,Sweetened Condensed Milk,Rich and creamy milk perfect for baking or desserts.,km,1.89
992,Electric Razor,Rechargeable electric razor for a smooth shave.,cm3,59.99
993,Smartphone Gimbal Stabilizer,Stabilizer for smooth video recording with smartphones.,litros,89.99
994,Andouille Sausage,Spicy and smoky sausage great for grilling.,m2,5.49
995,Traditional Hummus,Creamy chickpea dip blended with tahini and garlic.,pulgadas,3.29
996,Buffalo Cauliflower Bites,Spicy cauliflower bites for a vegetarian snack.,m2,6.29
997,Sweet Potatoes (organic),"Fresh organic sweet potatoes, great for roasting or mashing.",litros,1.99
998,Oven-Baked Chicken Tenders,"Crispy and juicy chicken tenders, perfect for dipping.",pulgadas,6.99
999,Window Blinds,Adjustable window blinds for privacy and light control.,km,59.99
1000,Kids' Crafting Station,Complete station with supplies for kids' art projects.,km,49.99
